Word,Number Of Occurences,Number Of Steps
month,20,20
carving,1,2
established,1,3
cornelius,1,4
parasol,5,25
scream,1,1
procession,7,14
demeanor,2,6
barred,1,1
mathematics,2,4
bewilder,1,3
vive,1,4
neither,27,27
hastily,11,11
disdainful,1,1
empress,1,2
insulted,3,3
duly,1,2
hans,1,3
manliest,1,1
paired,1,2
drank,5,5
alteration,1,1
friendless,1,2
ohs,1,1
impressively,3,6
blanketed,1,3
cuff,2,8
performances,5,5
longings,2,4
laundrywoman,1,3
street,20,20
simmer,1,2
dumb,3,3
college,20,20
midsummer,3,6
redder,6,6
accompaniment,2,2
instant,11,22
named,4,12
toe,1,1
vladimir,1,2
expensive,2,2
holes,2,4
redden,1,1
spilled,1,1
pardon,26,26
godmother,2,2
york,4,8
writers,1,1
notice,10,20
dursnt,1,3
intellect,4,16
current,1,1
stile,3,6
sounded,14,14
tom,2,4
speechless,2,2
fatherless,1,2
persisted,4,12
too,198,198
disgusted,7,14
outcry,1,3
excellently,6,6
top,11,22
tweaked,2,6
tripped,2,2
tempest,2,4
bathed,1,3
blazed,2,8
capture,1,5
policy,1,6
share,13,13
denounced,1,2
reposing,1,3
still,94,94
names,10,20
confessing,1,1
benefactor,1,2
dignity,14,14
slowly,33,66
endeared,2,6
graciously,8,32
treadmill,1,5
oil,2,12
sugarplum,1,7
bell,12,12
humor,6,12
fisher,2,6
undone,1,1
toy,2,2
speaks,6,6
dreary,4,8
upright,2,6
buttoned,2,8
obstreperous,1,5
elegance,7,7
ruffled,8,16
magical,1,3
sharp,23,23
snip,1,2
laboured,1,3
belt,2,2
wherry,1,2
traits,1,3
linger,1,1
sick,34,34
pucker,2,4
woes,1,3
capricious,2,8
milkman,1,1
vivan,1,1
repress,1,2
millennium,1,3
concerned,1,1
fished,1,2
police,2,2
thither,1,2
pulling,6,6
pickers,1,2
balcony,2,2
happier,8,8
beaming,6,12
monosyllable,2,6
gracefully,10,10
boys,101,101
trembled,6,12
gain,3,9
lifts,1,1
denouement,1,2
quietly,39,39
creep,1,2
catherine,1,3
desultory,1,1
anointed,1,1
wearin,2,4
lighting,1,3
outset,1,4
mother,328,328
grandpa,23,46
guard,10,30
meshes,1,4
bespattered,1,5
woodbine,1,6
tempers,5,5
message,4,4
dampness,2,4
opportunities,3,9
commander,5,5
eaten,3,3
outbreak,1,2
cambric,2,6
chorus,3,3
flowery,2,4
dolefully,1,3
lessons,33,33
daring,3,6
face,254,254
enthroned,2,4
addressing,1,1
side,53,53
confession,2,4
manifest,1,3
denis,1,4
flowers,62,62
nightingale,1,2
wanted,68,68
relapse,1,1
arsenic,1,1
smiling,35,70
detest,2,2
everlasting,3,3
suits,7,14
ellen,4,12
ravished,1,4
commanded,5,25
astride,1,6
complimentary,2,14
toothbrush,1,8
nautical,2,2
napoleons,1,2
contrasting,2,2
breastpin,1,2
ostentatiously,1,1
german,21,21
essays,1,2
pockets,8,8
glowed,6,6
criticized,4,8
fact,26,78
benefits,1,4
tableau,2,2
longmeadow,2,2
sauntered,1,2
fetlock,3,3
frenchwoman,5,10
cuddled,5,5
sting,1,2
bend,4,12
rapped,2,2
romping,4,8
sympathetic,3,3
bigger,5,5
incoherently,1,2
roast,1,1
sample,2,2
uttered,9,9
pasting,1,1
a,4467,4467
dramatis,1,2
mirth,2,2
b,1,2
announcing,1,3
mannling,1,4
deplorable,1,5
granted,3,3
russian,2,4
c,3,9
producing,5,20
parish,1,5
convulse,1,6
devouring,1,7
decided,37,37
slashed,1,2
wrapping,2,6
embitter,1,4
pearl,5,5
proposition,1,2
recollection,3,3
profusion,2,4
quality,1,3
cross,32,32
inkstand,4,8
minding,2,6
i,3153,3153
childs,2,4
bent,17,51
maidservants,1,4
humoredly,1,5
question,20,20
scorned,1,2
poodles,1,3
stooping,4,4
k,5,10
homesickness,2,2
l,2,4
m,3,3
youd,66,132
confiding,8,24
future,9,36
beneath,1,5
curling,2,2
n,1,2
pennies,1,3
tile,1,4
clenched,1,5
pleasing,16,16
o,3,6
faithfully,9,9
repining,1,2
embarrassing,1,3
p,4,16
jes,1,5
dramatic,6,6
excuse,9,18
adorned,11,33
jet,1,4
excluded,1,1
jardin,1,2
hard,138,138
s,3,6
hoarded,1,3
firin,1,1
t,1,2
jew,1,3
diplomatically,1,4
till,190,190
sleepy,6,6
old,378,378
preferred,7,14
listless,4,12
bowing,2,2
perkins,1,2
respeckful,1,3
recited,1,1
hark,1,2
your,470,470
haste,6,12
sleeps,4,4
harm,12,24
fervently,3,3
betokens,1,2
deliberately,2,2
conscience,10,20
harp,2,2
readers,5,5
dashing,4,8
varying,1,3
ruined,2,2
pastime,2,4
enemies,4,4
moire,1,2
try,124,124
buyer,1,2
guitar,1,1
streaming,1,2
interested,19,19
bargains,2,4
whisky,1,3
consumed,1,1
jouvins,1,2
strong,51,51
doorway,2,4
